pred,id,rms,file_path
7.8623929,PZ38_Bujnicki_1.pdb,0,/data/data/01_raw/PZ38/output/test/PZ38_Bujnicki_1.pdb
9.0392017,PZ38_Bujnicki_2.pdb,0,/data/data/01_raw/PZ38/output/test/PZ38_Bujnicki_2.pdb
8.6921425,PZ38_Bujnicki_3.pdb,0,/data/data/01_raw/PZ38/output/test/PZ38_Bujnicki_3.pdb
8.2611666,PZ38_Bujnicki_4.pdb,0,/data/data/01_raw/PZ38/output/test/PZ38_Bujnicki_4.pdb
7.7026434,PZ38_Bujnicki_5.pdb,0,/data/data/01_raw/PZ38/output/test/PZ38_Bujnicki_5.pdb
7.8590837,PZ38_Chen_1.pdb,0,/data/data/01_raw/PZ38/output/test/PZ38_Chen_1.pdb
9.4267178,PZ38_Chen_10.pdb,0,/data/data/01_raw/PZ38/output/test/PZ38_Chen_10.pdb
8.7787418,PZ38_Chen_2.pdb,0,/data/data/01_raw/PZ38/output/test/PZ38_Chen_2.pdb
8.3110228,PZ38_Chen_3.pdb,0,/data/data/01_raw/PZ38/output/test/PZ38_Chen_3.pdb
8.1802616,PZ38_Chen_4.pdb,0,/data/data/01_raw/PZ38/output/test/PZ38_Chen_4.pdb
8.7294521,PZ38_Chen_5.pdb,0,/data/data/01_raw/PZ38/output/test/PZ38_Chen_5.pdb
8.3413029,PZ38_Chen_6.pdb,0,/data/data/01_raw/PZ38/output/test/PZ38_Chen_6.pdb
7.9719820,PZ38_Chen_7.pdb,0,/data/data/01_raw/PZ38/output/test/PZ38_Chen_7.pdb
8.4820671,PZ38_Chen_8.pdb,0,/data/data/01_raw/PZ38/output/test/PZ38_Chen_8.pdb
9.2913952,PZ38_Chen_9.pdb,0,/data/data/01_raw/PZ38/output/test/PZ38_Chen_9.pdb
6.5287237,PZ38_DasARESApo_1.pdb,0,/data/data/01_raw/PZ38/output/test/PZ38_DasARESApo_1.pdb
6.6086116,PZ38_DasARESApo_2.pdb,0,/data/data/01_raw/PZ38/output/test/PZ38_DasARESApo_2.pdb
6.7031240,PZ38_DasARESApo_3.pdb,0,/data/data/01_raw/PZ38/output/test/PZ38_DasARESApo_3.pdb
6.6285419,PZ38_DasARESApo_4.pdb,0,/data/data/01_raw/PZ38/output/test/PZ38_DasARESApo_4.pdb
6.6566525,PZ38_DasARESApo_5.pdb,0,/data/data/01_raw/PZ38/output/test/PZ38_DasARESApo_5.pdb
7.4836802,PZ38_DasFARFAR2Apo_1.pdb,0,/data/data/01_raw/PZ38/output/test/PZ38_DasFARFAR2Apo_1.pdb
7.0658331,PZ38_DasFARFAR2Apo_2.pdb,0,/data/data/01_raw/PZ38/output/test/PZ38_DasFARFAR2Apo_2.pdb
8.1628361,PZ38_DasFARFAR2Apo_3.pdb,0,/data/data/01_raw/PZ38/output/test/PZ38_DasFARFAR2Apo_3.pdb
7.6225982,PZ38_DasFARFAR2Apo_4.pdb,0,/data/data/01_raw/PZ38/output/test/PZ38_DasFARFAR2Apo_4.pdb
6.7969718,PZ38_DasFARFAR2Apo_5.pdb,0,/data/data/01_raw/PZ38/output/test/PZ38_DasFARFAR2Apo_5.pdb
6.6566525,PZ38_DasFARFAR2Holo_1.pdb,0,/data/data/01_raw/PZ38/output/test/PZ38_DasFARFAR2Holo_1.pdb
7.7219343,PZ38_DasFARFAR2NNApo_1.pdb,0,/data/data/01_raw/PZ38/output/test/PZ38_DasFARFAR2NNApo_1.pdb
7.8198829,PZ38_DasFARFAR2NNApo_2.pdb,0,/data/data/01_raw/PZ38/output/test/PZ38_DasFARFAR2NNApo_2.pdb
9.4550705,PZ38_DasFARFAR2NNApo_3.pdb,0,/data/data/01_raw/PZ38/output/test/PZ38_DasFARFAR2NNApo_3.pdb
8.3688946,PZ38_DasFARFAR2NNApo_4.pdb,0,/data/data/01_raw/PZ38/output/test/PZ38_DasFARFAR2NNApo_4.pdb
8.1136379,PZ38_DasFARFAR2NNApo_5.pdb,0,/data/data/01_raw/PZ38/output/test/PZ38_DasFARFAR2NNApo_5.pdb
7.1517811,PZ38_DasFARFAR2NNHolo_1.pdb,0,/data/data/01_raw/PZ38/output/test/PZ38_DasFARFAR2NNHolo_1.pdb
8.0378628,PZ38_Dfold_1.pdb,0,/data/data/01_raw/PZ38/output/test/PZ38_Dfold_1.pdb
8.0795403,PZ38_Dfold_2.pdb,0,/data/data/01_raw/PZ38/output/test/PZ38_Dfold_2.pdb
7.6019216,PZ38_Dfold_3.pdb,0,/data/data/01_raw/PZ38/output/test/PZ38_Dfold_3.pdb
9.7857971,PZ38_Dfold_4.pdb,0,/data/data/01_raw/PZ38/output/test/PZ38_Dfold_4.pdb
8.0795403,PZ38_Dfold_5.pdb,0,/data/data/01_raw/PZ38/output/test/PZ38_Dfold_5.pdb
9.3366489,PZ38_Ding_1.pdb,0,/data/data/01_raw/PZ38/output/test/PZ38_Ding_1.pdb
9.1967850,PZ38_Ding_2.pdb,0,/data/data/01_raw/PZ38/output/test/PZ38_Ding_2.pdb
9.2198429,PZ38_Ding_3.pdb,0,/data/data/01_raw/PZ38/output/test/PZ38_Ding_3.pdb
9.0851917,PZ38_Ding_4.pdb,0,/data/data/01_raw/PZ38/output/test/PZ38_Ding_4.pdb
10.0692539,PZ38_Ding_5.pdb,0,/data/data/01_raw/PZ38/output/test/PZ38_Ding_5.pdb
9.9618607,PZ38_Ding_6.pdb,0,/data/data/01_raw/PZ38/output/test/PZ38_Ding_6.pdb
9.4260902,PZ38_Dokholyan_1.pdb,0,/data/data/01_raw/PZ38/output/test/PZ38_Dokholyan_1.pdb
9.0837994,PZ38_RNAComposer_1.pdb,0,/data/data/01_raw/PZ38/output/test/PZ38_RNAComposer_1.pdb
10.9984875,PZ38_RNAComposer_2.pdb,0,/data/data/01_raw/PZ38/output/test/PZ38_RNAComposer_2.pdb
9.6239872,PZ38_RNAComposer_3.pdb,0,/data/data/01_raw/PZ38/output/test/PZ38_RNAComposer_3.pdb
9.8538551,PZ38_RNAComposer_4.pdb,0,/data/data/01_raw/PZ38/output/test/PZ38_RNAComposer_4.pdb
9.2170391,PZ38_RNAComposer_5.pdb,0,/data/data/01_raw/PZ38/output/test/PZ38_RNAComposer_5.pdb
9.4197769,PZ38_SimRNA_1.pdb,0,/data/data/01_raw/PZ38/output/test/PZ38_SimRNA_1.pdb
9.6405411,PZ38_SimRNA_2.pdb,0,/data/data/01_raw/PZ38/output/test/PZ38_SimRNA_2.pdb
9.8774014,PZ38_SimRNA_3.pdb,0,/data/data/01_raw/PZ38/output/test/PZ38_SimRNA_3.pdb
