model,name,error,PZ,Lab,Num,RMSD,file_path,Name,diff
lociparse_selftrained,PZ7_Bujnicki_2,0.57,7,Bujnicki,2.0,60.6064682006836,PZ7/test/PZ7_Bujnicki_2.pdb,PZ7_Bujnicki_2,-60.0364682006836
lociparse_selftrained,PZ7_Bujnicki_1,0.6,7,Bujnicki,1.0,42.530757904052734,PZ7/test/PZ7_Bujnicki_1.pdb,PZ7_Bujnicki_1,-41.93075790405273
lociparse_selftrained,PZ7_Dokholyan_2,0.59,7,Dokholyan,2.0,36.9278678894043,PZ7/test/PZ7_Dokholyan_2.pdb,PZ7_Dokholyan_2,-36.33786788940429
lociparse_selftrained,PZ7_Ding_10,0.62,7,Ding,10.0,36.53789520263672,PZ7/test/PZ7_Ding_10.pdb,PZ7_Ding_10,-35.91789520263672
lociparse_selftrained,PZ7_Chen_2,0.7,7,Chen,2.0,34.3694953918457,PZ7/test/PZ7_Chen_2.pdb,PZ7_Chen_2,-33.6694953918457
lociparse_selftrained,PZ7_Chen_9,0.69,7,Chen,9.0,33.37859344482422,PZ7/test/PZ7_Chen_9.pdb,PZ7_Chen_9,-32.68859344482422
lociparse_selftrained,PZ7_Ding_2,0.63,7,Ding,2.0,32.74875259399414,PZ7/test/PZ7_Ding_2.pdb,PZ7_Ding_2,-32.11875259399414
lociparse_selftrained,PZ37_Dfold_10,0.59,37,Dfold,10.0,31.95611953735352,PZ37/test/PZ37_Dfold_10.pdb,PZ37_Dfold_10,-31.36611953735352
lociparse_selftrained,PZ7_Ding_4,0.62,7,Ding,4.0,31.95319175720215,PZ7/test/PZ7_Ding_4.pdb,PZ7_Ding_4,-31.333191757202147
lociparse_selftrained,PZ7_Ding_3,0.61,7,Ding,3.0,31.807558059692383,PZ7/test/PZ7_Ding_3.pdb,PZ7_Ding_3,-31.197558059692383
lociparse_selftrained,PZ7_Major_10,0.67,7,Major,10.0,31.594783782958984,PZ7/test/PZ7_Major_10.pdb,PZ7_Major_10,-30.924783782958983
lociparse_selftrained,PZ7_Chen_10,0.7,7,Chen,10.0,31.53738594055176,PZ7/test/PZ7_Chen_10.pdb,PZ7_Chen_10,-30.837385940551762
lociparse_selftrained,PZ35_Dfold2_2,0.65,35,Dfold2,2.0,31.39792823791504,PZ35/test/PZ35_Dfold2_2.pdb,PZ35_Dfold2_2,-30.74792823791504
lociparse_selftrained,PZ8_Dokholyan_4,0.57,8,Dokholyan,4.0,31.274169921875,PZ8/test/PZ8_Dokholyan_4.pdb,PZ8_Dokholyan_4,-30.704169921875
lociparse_selftrained,PZ7_Adamiak_3,0.72,7,Adamiak,3.0,30.73983764648437,PZ7/test/PZ7_Adamiak_3.pdb,PZ7_Adamiak_3,-30.019837646484373
lociparse_selftrained,PZ7_Dokholyan_1,0.6,7,Dokholyan,1.0,30.195444107055664,PZ7/test/PZ7_Dokholyan_1.pdb,PZ7_Dokholyan_1,-29.595444107055663
lociparse_selftrained,PZ35_Dfold2_3,0.61,35,Dfold2,3.0,30.18473052978516,PZ35/test/PZ35_Dfold2_3.pdb,PZ35_Dfold2_3,-29.57473052978516
lociparse_selftrained,PZ22_Dokholyan_2,0.6,22,Dokholyan,2.0,30.13847541809082,PZ22/test/PZ22_Dokholyan_2.pdb,PZ22_Dokholyan_2,-29.53847541809082
lociparse_selftrained,PZ7_Ding_7,0.62,7,Ding,7.0,29.96412467956543,PZ7/test/PZ7_Ding_7.pdb,PZ7_Ding_7,-29.34412467956543
lociparse_selftrained,PZ7_Adamiak_4,0.73,7,Adamiak,4.0,30.00903511047364,PZ7/test/PZ7_Adamiak_4.pdb,PZ7_Adamiak_4,-29.27903511047364
